id,Source,target(zh-CN),target(en-US),target(zh-HK)
ccfe-000002001,元每月,元每月,RMB per month,元每月
ccfe-000002002,元每年,元每年,Yuan per year,元每年
ccfe-000002003,获取镜像失败,获取镜像失败,Failed to obtain image,獲取鏡像失敗
ccfe-000002004,元,元,yuan,元
ccfe-000002005,订购后,订购后,After ordering,訂購後
ccfe-000002006,请使用系统给您发送的链接完成账号激活并登录云电脑客户端,请使用系统给您发送的链接完成账号激活并登录云电脑客户端,Please use the link sent by the system to complete the account activation and log in to the cloud computer client,請使用系統給您發送的鏈接完成賬號激活並登錄雲電腦客戶端
ccfe-000002007,如您当前已有使用中的账号,如您当前已有使用中的账号,If you currently have an account in use,如您當前已有使用中的賬號
ccfe-000002008,可直接前往,可直接前往,Direct access,可直接前往
ccfe-000002009,管理控制台,管理控制台,Administrative console,管理控制檯
ccfe-000002010,将新购电脑分配至现有账号,将新购电脑分配至现有账号,Assign newly purchased computers to existing accounts,將新購電腦分配至現有賬號
ccfe-000002011,无需激活,无需激活,No activation required,無需激活
ccfe-000002012,包月计费支持,包月计费支持,Monthly billing support,包月計費支持
ccfe-000002013,按月出账,按月出账,Monthly payments,按月出賬
ccfe-000002014,以月为周期,以月为周期,Monthly cycle,以月為週期
ccfe-000002015,在每月订单生效的次月出账,在每月订单生效的次月出账,Account is made in the month following the effective date of the monthly order,在每月訂單生效的次月出賬
ccfe-000002016,个月的费用,个月的费用,A month's cost,個月的費用
ccfe-000002017,包年计费支持,包年计费支持,Package annual billing support,包年計費支持
ccfe-000002018,一次性出账,一次性出账,One-off account,一次性出賬
ccfe-000002019,包年计费产品会在订购次月一次性出账购买时长的全部费用,包年计费产品会在订购次月一次性出账购买时长的全部费用,Annual billing products will be billed for the full cost of the purchase in one lump sum in the month following the order,包年計費產品會在訂購次月一次性出賬購買時長的全部費用
ccfe-000002020,享受包年折扣优惠,享受包年折扣优惠,Enjoy annual discount,享受包年折扣優惠
ccfe-000002021,适合有长期使用需求的客户,适合有长期使用需求的客户,Suitable for customers with long-term use needs,適合有長期使用需求的客戶
ccfe-000002022,包年一次性产品订购后,包年一次性产品订购后,Package annual disposable products after ordering,包年一次性產品訂購後
ccfe-000002023,如您未操作续订,如您未操作续订,If you do not renew the subscription,如您未操作續訂
ccfe-000002024,则可在订购当月退订,则可在订购当月退订,Can be unsubscribed in the month of order,則可在訂購當月退訂
ccfe-000002025,共享带宽,共享带宽,Shared Bandwidth,共享帶寬
ccfe-000002026,可选范围,可选范围,Optional range,可選範圍
ccfe-000002027,并且是,并且是,and,並且是
ccfe-000002028,的整数倍,的整数倍,Integral multiple of,的整數倍
ccfe-000002029,可单独添加额外数据盘,可单独添加额外数据盘,Additional data disks can be added separately,可單獨添加額外數據盤
ccfe-000002030,输入,输入,input,輸入
ccfe-000002031,所有数据盘总容量不超过,所有数据盘总容量不超过,The total capacity of all data disks cannot exceed,所有數據盤總容量不超過
ccfe-000002032,政企集团客户,政企集团客户,Government and enterprise group customers,政企集團客戶
ccfe-000002033,订购数量请输入,订购数量请输入,Order quantity please enter,訂購數量請輸入
ccfe-000002034,的整数,的整数,Integer of,的整數
ccfe-000002035,且云电脑,且云电脑,Cloud computer,且雲電腦
ccfe-000002036,增值服务的总数量不可超过,增值服务的总数量不可超过,The total number of value-added services cannot exceed,增值服務的總數量不可超過
ccfe-000002037,完成订购后,完成订购后,After completing the order,完成訂購後
ccfe-000002038,系统会将云电脑的账号激活链接发送至您填写的邮箱,系统会将云电脑的账号激活链接发送至您填写的邮箱,the system will send the cloud computer account activation link to the email you fill in,系統會將雲電腦的賬號激活鏈接發送至您填寫的郵箱
ccfe-000002039,请注意查收,请注意查收,please note that check,請注意查收
ccfe-000002040,参考时间,参考时间,Reference time,參考時間
ccfe-000002041,实际时间以订单为准,实际时间以订单为准,The actual time is subject to the order,實際時間以訂單為準
ccfe-000002042,为到期后自动续订周期,为到期后自动续订周期,The automatic renewal period after expiration is,為到期後自動續訂週期
ccfe-000002043,订购,订购,order,訂購
ccfe-000002044,请输入电子邮箱,请输入电子邮箱,Please enter your email address,請輸入電子郵箱
ccfe-000002045,请输入正确的电子邮箱,请输入正确的电子邮箱,Please enter the correct email address,請輸入正確的電子郵箱
ccfe-000002046,电子邮箱,电子邮箱,Email address,電子郵箱
ccfe-000002047,购物车内仅支持加入相同邮箱的办公型,购物车内仅支持加入相同邮箱的办公型,Only office models with the same email address are supported in the shopping cart,購物車內僅支持加入相同郵箱的辦公型
ccfe-000002048,公众版云电脑,公众版云电脑,Public version cloud computer,公眾版雲電腦
ccfe-000002049,系统异常,系统异常,System exception,系統異常
ccfe-000002050,当前智慧盘增值服务暂无可选规格,当前智慧盘增值服务暂无可选规格,No specifications are available for the smart disk value-added service,當前智慧盤增值服務暫無可選規格
ccfe-000002051,请取消开启或联系客户经理确认后下单,请取消开启或联系客户经理确认后下单,Please cancel the opening or contact the account manager to confirm the order,請取消開啟或聯繫客戶經理確認後下單
ccfe-000002052,元,元,yuan,元
ccfe-000002053,当前配置以及镜像的云手机可售资源不足,当前配置以及镜像的云手机可售资源不足,Currently configured and mirrored cloud phones are not available for sale,當前配置以及鏡像的雲手機可售資源不足
ccfe-000002054,请选择其它规格配置或取消购买云手机,请选择其它规格配置或取消购买云手机,Please select other specifications or cancel the purchase of the cloud phone,請選擇其它規格配置或取消購買雲手機
ccfe-000002055,智慧盘为云电脑提供额外存储空间,智慧盘为云电脑提供额外存储空间,Smart disks provide additional storage space for cloud computers,智慧盤為雲電腦提供額外存儲空間
ccfe-000002056,支持跨终端数据互通,支持跨终端数据互通,Supports cross-terminal data communication,支持跨終端數據互通
ccfe-000002057,订购成功后,订购成功后,After successful order,訂購成功後
ccfe-000002058,您可前往,您可前往,You can go to,您可前往
ccfe-000002059,智慧盘订单列表,智慧盘订单列表,Smart disk order list,智慧盤訂單列表
ccfe-000002060,您所访问的页面不存在,您所访问的页面不存在,The page you are visiting does not exist,您所訪問的頁面不存在
ccfe-000002061,返回首页,返回首页,Return to homepage,返回首頁
ccfe-000002062,当前账号状态异常，无法订购,当前账号状态异常，无法订购,The current account status is abnormal and unable to place an order,當前賬號狀態異常，無法訂購
ccfe-000002063,【订购】NAT网关,【订购】NAT网关,[Order] NAT Gateway,【訂購】NAT網關
ccfe-000002064,暂未购买高级管理包，无法开通NAT网关,暂未购买高级管理包，无法开通NAT网关,"You have not yet purchased the advanced management package, so you are unable to activate the NAT gateway",暫未購買高級管理包，無法開通NAT網關
ccfe-000002065,开通带宽,开通带宽,Open bandwidth,開通帶寬
ccfe-000002066,暂未购买高级管理包，无法开通带宽,暂未购买高级管理包，无法开通带宽,"Youu haven't purchased the advanced management package yet, so you can't activate the bandwidth",暫未購買高級管理包，無法開通帶寬
ccfe-000002067,云电脑普通订购页,云电脑普通订购页,Cloud computer ordinary ordering page,雲電腦普通訂購頁
ccfe-000002068,暂不支持当前用户类型参加本活动，可前往,暂不支持当前用户类型参加本活动，可前往,The current user type is not currently supported to participate in this activity. You can go to,暫不支持當前用戶類型參加本活動，可前往
ccfe-000002069,温馨提示,温馨提示,reminder,溫馨提示
ccfe-000002070,不支持免费账户订购，您可以订购其它版本,不支持免费账户订购，您可以订购其它版本,Free account ordering is not supported. You can order other versions instead,不支持免費賬戶訂購，您可以訂購其它版本
ccfe-000002071,您的账户权限不足，无法订购该产品，请联系您的客户经理申请权限,您的账户权限不足，无法订购该产品，请联系您的客户经理申请权限,Your account does not have sufficient permissions to order this product. Please contact your account manager to apply for permission,您的賬戶權限不足，無法訂購該產品，請聯繫您的客戶經理申請權限
ccfe-000002072,当前账号类型不支持订购,当前账号类型不支持订购,The current account type does not support ordering,當前賬號類型不支持訂購
ccfe-000002073,当前产品仅支持政企集团客户订购，暂不支持互联网客户,当前产品仅支持政企集团客户订购，暂不支持互联网客户,"The current product only supports the ordering of government enterprise group customers, and does not support Internet customers temporarily",當前產品僅支持政企集團客戶訂購，暫不支持互聯網客戶
ccfe-000002074,暂不支持当前用户类型进入控制台,暂不支持当前用户类型进入控制台,Currently not supporting the current user type to enter the console,暫不支持當前用戶類型進入控制檯
ccfe-000002075,抱歉，当前账号无权限查看控制台,抱歉，当前账号无权限查看控制台,"Sorry, the current account does not have permission to view the console",抱歉，當前賬號無權限查看控制檯
ccfe-000002076,当前用户类型不支持进行公测申请,当前用户类型不支持进行公测申请,The current user type does not support applying for public testing,當前用戶類型不支持進行公測申請
ccfe-000002077,云电脑普通订购页,云电脑普通订购页,Cloud computer ordinary ordering page,雲電腦普通訂購頁
ccfe-000002078,本活动已结束，无法订购，可前往,本活动已结束，无法订购，可前往,This event has ended and cannot be ordered. You can go to,本活動已結束，無法訂購，可前往
ccfe-000002079,温馨提示,温馨提示,reminder,溫馨提示
ccfe-000002080,京ICP备05002571号 丨 ecloud.10086.cn所有 丨 增值电信业务经营许可证：A2.B1.B2-20100001,京ICP备05002571号 丨 ecloud.10086.cn所有 丨 增值电信业务经营许可证：A2.B1.B2-20100001,Beijing ICP No. 05002571 丨 belong to ecloud.10086.cn  丨 Value added Telecommunications Business License: A2.B1.B2-20100001,京ICP備05002571號 丨 ecloud.10086.cn所有 丨 增值電信業務經營許可證：A2.B1.B2-20100001
ccfe-000002081,抱歉，您访问的页面不存在,抱歉，您访问的页面不存在,"Sorry, the page you visited does not exist",抱歉，您訪問的頁面不存在
ccfe-000002082,1-60个月,1-60个月,1-60 months,1-60個月
ccfe-000002083,计费项,计费项,Billing Items,計費項
ccfe-000002084,单价,单价,Unit Price,單價
ccfe-000002085,2台,2台,2 units,2臺
ccfe-000002086,3年,3年,3 years,3年
ccfe-000002087,费用,费用,cost,費用
ccfe-000002088,原价,原价,Original Price,原價
ccfe-000002089,已省,已省,Already saved,已省
ccfe-000002090,应付金额,应付金额,Payable amount,應付金額
ccfe-000002091,该折扣不包含邀请码折扣，具体扣费以账单为准。,该折扣不包含邀请码折扣，具体扣费以账单为准。,"This discount does not include the invitation code discount, and the specific deduction will be based on the bill.",該折扣不包含邀請碼折扣，具體扣費以賬單為準。
ccfe-000002092,了解计费详情,了解计费详情,Understand billing details,瞭解計費詳情
ccfe-000002093,注意：,注意：,notice:,注意：
ccfe-000002094,不支持加入购物车,不支持加入购物车,Not supported to add to cart,不支持加入購物車
ccfe-000002095,加入购物车,加入购物车,Add To Cart,加入購物車
ccfe-000002096,费用合计,费用合计,Total Cost,費用合計
ccfe-000002097,我已阅读并同意,我已阅读并同意,I have read and agree,我已閱讀並同意
ccfe-000002098,《移动云公测试用服务协议》,《移动云公测试用服务协议》,China Mobile Cloud Public Beta Trial Service Agreement,《移動雲公測試用服務協議》
ccfe-000002099,《移动云产品销售协议》,《移动云产品销售协议》,《China Mobile Cloud Product Sales Agreement》,《移動雲產品銷售協議》
ccfe-000002100,《云电脑小站服务使用声明》,《云电脑小站服务使用声明》,Cloud Computer Small Station Service Usage Statement,《雲電腦小站服務使用聲明》
ccfe-000002101,《云电脑服务使用声明》,《云电脑服务使用声明》,《Cloud Computer Service Usage Statement》,《雲電腦服務使用聲明》
ccfe-000002102,《云电脑一体化服务等级协议》,《云电脑一体化服务等级协议》,Cloud Computer Integrated Service Level Agreement,《雲電腦一體化服務等級協議》
ccfe-000002103,《云电脑服务等级协议》,《云电脑服务等级协议》,《Cloud Computing Service Level Agreement》,《雲電腦服務等級協議》
ccfe-000002104,请先阅读并同意以下服务协议,请先阅读并同意以下服务协议,Please read and agree to the following service agreement first,請先閱讀並同意以下服務協議
ccfe-000002105,我已阅读并同意上述协议,我已阅读并同意上述协议,I have read and agree to the above agreement,我已閱讀並同意上述協議
ccfe-000002106,请输入密码（必填）,请输入密码（必填）,Please enter password (required),請輸入密碼（必填）
ccfe-000002107,1.密码长度为8-20个字符；,1.密码长度为8-20个字符；,1. The password length is 8-20 characters;,1.密碼長度為8-20個字符；
ccfe-000002108,2.至少有1个大写字母；,2.至少有1个大写字母；,2. There must be at least one uppercase letter;,2.至少有1個大寫字母；
ccfe-000002109,3.至少有1个小写字母；,3.至少有1个小写字母；,3. There must be at least one lowercase letter;,3.至少有1個小寫字母；
ccfe-000002110,4.至少有一个数字；,4.至少有一个数字；,4. There should be at least one number;,4.至少有一個數字；
ccfe-000002111,"5.至少有一个特殊字符(仅限!@#$%^-&*./,)不能包含空格；","5.至少有一个特殊字符(仅限!@#$%^-&*./,)不能包含空格；",5. At least one special character (limited to! @ # $% ^ -&*./only) cannot contain spaces;,"5.至少有一個特殊字符(僅限!@#$%^-&*./,)不能包含空格；"
ccfe-000002112,6.不应以姓名、电话号码、出生日期以及账号名、系统名、公司名等作为密码或者密码的组成部分；,6.不应以姓名、电话号码、出生日期以及账号名、系统名、公司名等作为密码或者密码的组成部分；,"6. Names, phone numbers, dates of birth, account names, system names, company names, etc. should not be used as passwords or components of passwords;",6.不應以姓名、電話號碼、出生日期以及賬號名、系統名、公司名等作為密碼或者密碼的組成部分；
ccfe-000002113,7.密码设置应避免3位及以上键盘排序密码，如qwe（键盘第1行前三个字母）、asd（键盘第2行前三个字母）、qaz（键盘第1列三个字母）、1qaz（键盘第1列数字加前三个字母）、!QAZ（键盘第1列特殊字符加前三个字母）等；,7.密码设置应避免3位及以上键盘排序密码，如qwe（键盘第1行前三个字母）、asd（键盘第2行前三个字母）、qaz（键盘第1列三个字母）、1qaz（键盘第1列数字加前三个字母）、!QAZ（键盘第1列特殊字符加前三个字母）等；,"7. Password settings should avoid keyboard sorted passwords of 3 or more characters, such as qwe (the first three letters of the first row of the keyboard), asd (the first three letters of the second row of the keyboard), qaz (the first three letters of the first column of the keyboard), 1qaz (the number of the first column of the keyboard plus the first three letters)! QAZ (special characters in the first column of the keyboard plus the first three letters), etc;",7.密碼設置應避免3位及以上鍵盤排序密碼，如qwe（鍵盤第1行前三個字母）、asd（鍵盤第2行前三個字母）、qaz（鍵盤第1列三個字母）、1qaz（鍵盤第1列數字加前三個字母）、!QAZ（鍵盤第1列特殊字符加前三個字母）等；
ccfe-000002114,8.密码中不能出现3位及以上连续字母、数字、特殊字符，如ABC、Abc、123、!@#等；,8.密码中不能出现3位及以上连续字母、数字、特殊字符，如ABC、Abc、123、!@#等；,"8. Passwords cannot contain 3 or more consecutive letters, numbers, or special characters, such as ABC, Abc, 123@# Wait;",8.密碼中不能出現3位及以上連續字母、數字、特殊字符，如ABC、Abc、123、!@#等；
ccfe-000002115,9.密码中不能出现3位及以上重复字母、数字、特殊字符，如AAA、Aaa、111、###等；,9.密码中不能出现3位及以上重复字母、数字、特殊字符，如AAA、Aaa、111、###等；,"9. Passwords cannot contain 3 or more repeated letters, numbers, special characters such as AAA, Aaa, 111, # # #, etc;",9.密碼中不能出現3位及以上重複字母、數字、特殊字符，如AAA、Aaa、111、###等；
ccfe-000002116,10.密码不得使用命中的敏感组合，例如cmcc、Admin等；,10.密码不得使用命中的敏感组合，例如cmcc、Admin等；,"10. Passwords must not use sensitive combinations that hit, such as cmcc, Admin, etc;",10.密碼不得使用命中的敏感組合，例如cmcc、Admin等；
ccfe-000002117,"密码中需要包含特殊符号(仅限!@#$%^-&*./,)且不能包含空格","密码中需要包含特殊符号(仅限!@#$%^-&*./,)且不能包含空格",Passwords must contain special symbols (limited to! @ # $% ^ -&*./) and cannot contain spaces,"密碼中需要包含特殊符號(僅限!@#$%^-&*./,)且不能包含空格"
ccfe-000002118,密码设置不符合规则，请重新输入,密码设置不符合规则，请重新输入,"Password setting does not comply with rules, please re-enter",密碼設置不符合規則，請重新輸入
ccfe-000002119,二维码图片,二维码图片,QR code image,二維碼圖片
ccfe-000002120,二维码logo,二维码logo,QR code logo,二維碼logo
ccfe-000002121,云电脑控制台,云电脑控制台,Cloud computer console,雲電腦控制檯
ccfe-000002122,云电脑依托中国移动优质的算力资源和先进的虚拟化技术，将云端的计算、存储、网络能力以电脑桌面的形态呈现给终端用户，为用户打造一站式、敏捷高效、安全可靠的云上办公空间，可广泛应用于具有高数据安全管控、高效桌面运维等要求的企业办公等场景。,云电脑依托中国移动优质的算力资源和先进的虚拟化技术，将云端的计算、存储、网络能力以电脑桌面的形态呈现给终端用户，为用户打造一站式、敏捷高效、安全可靠的云上办公空间，可广泛应用于具有高数据安全管控、高效桌面运维等要求的企业办公等场景。,"Cloud computing relies on China Mobile's high-quality computing resources and advanced virtualization technology to present the computing, storage, and network capabilities of the cloud to end users in the form of computer desktops, creating a one-stop, agile, efficient, secure, and reliable cloud office space for users. It can be widely used in enterprise office scenarios with high data security control, efficient desktop operation and maintenance requirements.",雲電腦依託中國移動優質的算力資源和先進的虛擬化技術，將雲端的計算、存儲、網絡能力以電腦桌面的形態呈現給終端用戶，為用戶打造一站式、敏捷高效、安全可靠的雲上辦公空間，可廣泛應用於具有高數據安全管控、高效桌面運維等要求的企業辦公等場景。
ccfe-000002123,立即进入,立即进入,Enter immediately,立即進入
ccfe-000002124,云电脑(办公型),云电脑(办公型),Cloud Computer (Office Type),雲電腦(辦公型)
ccfe-000002125,面向互联网用户、企业用户提供标准化电脑服务,面向互联网用户、企业用户提供标准化电脑服务,Provide standardized computer services for Internet users and enterprise users,面向互聯網用戶、企業用戶提供標準化電腦服務
ccfe-000002126,云电脑(信创型),云电脑(信创型),Cloud computer (xinchuang type),雲電腦(信創型)
ccfe-000002127,面向国产化企业用户打造全链路自主创新、安全可控的信创云电脑一体化解决方案,面向国产化企业用户打造全链路自主创新、安全可控的信创云电脑一体化解决方案,"To create a fully innovative, secure, and controllable integrated solution for domestic enterprise users in the field of information technology and cloud computing",面向國產化企業用戶打造全鏈路自主創新、安全可控的信創雲電腦一體化解決方案
ccfe-000002128,云电脑(行业型),云电脑(行业型),Cloud computing (industry type),雲電腦(行業型)
ccfe-000002129,面向教育、医疗、政务等领域，打造高性价比、轻度定制行业云电脑解决方案,面向教育、医疗、政务等领域，打造高性价比、轻度定制行业云电脑解决方案,"Targeting fields such as education, healthcare, and government affairs, we aim to create cost-effective and lightly customized cloud computing solutions for the industry",面向教育、醫療、政務等領域，打造高性價比、輕度定製行業雲電腦解決方案
ccfe-000002130,云电脑(设计版),云电脑(设计版),Cloud computer (design version),雲電腦(設計版)
ccfe-000002131,面向有设计、渲染等需求的企业用户提供标准化电脑服务,面向有设计、渲染等需求的企业用户提供标准化电脑服务,"Provide standardized computer services to enterprise users with design, rendering, and other needs",面向有設計、渲染等需求的企業用戶提供標準化電腦服務
ccfe-000002132,云网吧,云网吧,Cloud Internet Cafe,雲網吧
ccfe-000002133,面向网吧、网咖、电竞酒店等高性能使用场景，提供一站式云电脑解决方案,面向网吧、网咖、电竞酒店等高性能使用场景，提供一站式云电脑解决方案,"Provide a one-stop cloud computing solution for high-performance usage scenarios such as internet cafes, internet cafes, and e-sports hotels",面向網吧、網咖、電競酒店等高性能使用場景，提供一站式雲電腦解決方案
ccfe-000002134,查看订单,查看订单,View Orders,查看訂單
ccfe-000002135,您订购的资源正在审批中，暂无订单信息，无法查看,您订购的资源正在审批中，暂无订单信息，无法查看,"The resource you ordered is currently under approval and there is no order information available, so we are unable to view it",您訂購的資源正在審批中，暫無訂單信息，無法查看
ccfe-000002136,当前账号暂无更多操作权限,当前账号暂无更多操作权限,The current account does not have any additional operational permissions,當前賬號暫無更多操作權限
ccfe-000002137,续订,续订,Renewal,續訂
ccfe-000002138,配置续订方式,配置续订方式,Configure Renewal Method,配置續訂方式
ccfe-000002139,变更规格,变更规格,Change Specifications,變更規格
ccfe-000002140,扩容数据盘,扩容数据盘,Expand Data Disk,擴容數據盤
ccfe-000002141,扩容系统盘,扩容系统盘,Expand system disk,擴容系統盤
ccfe-000002142,包月转包年,包月转包年,Monthly Package To Annual Package,包月轉包年
ccfe-000002143,退订,退订,Unsubscribe,退訂
ccfe-000002144,互联网客户,互联网客户,Internet customers,互聯網客戶
ccfe-000002145,退订续订周期,退订续订周期,Unsubscribe Renewal Period,退訂續訂週期
ccfe-000002146,分配电脑,分配电脑,Assign Computers,分配電腦
ccfe-000002147,修改桌面密码,修改桌面密码,Change desktop password,修改桌面密碼
ccfe-000002148,您的账号状态异常，请联系客户经理恢复后再尝试,您的账号状态异常，请联系客户经理恢复后再尝试,Your account status is abnormal. Please contact the account manager to restore it before attempting again,您的賬號狀態異常，請聯繫客戶經理恢復後再嘗試
ccfe-000002149,您使用的旧版政企云电脑已下架，无法进行订单续订或变更等相关操作,您使用的旧版政企云电脑已下架，无法进行订单续订或变更等相关操作,The old version of the government enterprise cloud computer you are using has been taken down and cannot be used for order renewal or change related operations,您使用的舊版政企雲電腦已下架，無法進行訂單續訂或變更等相關操作
ccfe-000002150,您的云电脑非移动云官网订购，无法在官网控制台进行订单相关操作,您的云电脑非移动云官网订购，无法在官网控制台进行订单相关操作,"Your cloud computer is not ordered on the official website of the mobile cloud, so you cannot perform order related operations on the console of the official website",您的雲電腦非移動雲官網訂購，無法在官網控制檯進行訂單相關操作
ccfe-000002151,您的云电脑仅在已开通或已冻结状态下支持续订,您的云电脑仅在已开通或已冻结状态下支持续订,Your cloud computer only supports renewal when it is activated or frozen,您的雲電腦僅在已開通或已凍結狀態下支持續訂
ccfe-000002152,该规格不支持续订,该规格不支持续订,This specification does not support renewal,該規格不支持續訂
ccfe-000002153,该云电脑属于一体化服务包订单，暂不支持退订,该云电脑属于一体化服务包订单，暂不支持退订,This cloud computer belongs to an integrated service package order and does not currently support unsubscribing,該雲電腦屬於一體化服務包訂單，暫不支持退訂
ccfe-000002154,您的云电脑仅在已开通或已冻结状态下支持退订,您的云电脑仅在已开通或已冻结状态下支持退订,Your cloud computer only supports unsubscribing when it is activated or frozen,您的雲電腦僅在已開通或已凍結狀態下支持退訂
ccfe-000002155,该规格不支持退订,该规格不支持退订,This specification does not support unsubscribing,該規格不支持退訂
ccfe-000002156,您的云电脑仅在已开通或已冻结状态下支持增购延长服务包,您的云电脑仅在已开通或已冻结状态下支持增购延长服务包,Your cloud computer only supports adding and extending service packages when it is activated or frozen,您的雲電腦僅在已開通或已凍結狀態下支持增購延長服務包
ccfe-000002157,仅一体化服务包（自研）中的云电脑支持增购延长服务包,仅一体化服务包（自研）中的云电脑支持增购延长服务包,Only cloud computers in the integrated service package (self-developed) support the purchase and extension of service packages,僅一體化服務包（自研）中的雲電腦支持增購延長服務包
ccfe-000002158,您的云电脑仅在已开通状态下支持扩容,您的云电脑仅在已开通状态下支持扩容,Your cloud computer only supports expansion when it is activated,您的雲電腦僅在已開通狀態下支持擴容
ccfe-000002159,当前云电脑有其它进行中的任务，暂时无法进行扩容,当前云电脑有其它进行中的任务，暂时无法进行扩容,The current cloud computer has other ongoing tasks and cannot be expanded temporarily,當前雲電腦有其它進行中的任務，暫時無法進行擴容
ccfe-000002160,您的云电脑将在24小时内到期，请先续订并在续订资源生效后进行扩容,您的云电脑将在24小时内到期，请先续订并在续订资源生效后进行扩容,Your cloud computer will expire within 24 hours. Please renew first and expand after the renewed resources take effect,您的雲電腦將在24小時內到期，請先續訂並在續訂資源生效後進行擴容
ccfe-000002161,您的云电脑系统盘已达到最大${this.prodLimit.maxSysDiskExt}GB，无法扩容,您的云电脑系统盘已达到最大${this.prodLimit.maxSysDiskExt}GB，无法扩容,"Your cloud computer system disk has reached its maximum capacity$ {this.prodLimit.maxSysDiskExt}GB , unable to expand",您的雲電腦系統盤已達到最大${this.prodLimit.maxSysDiskExt}GB，無法擴容
ccfe-000002162,您的云电脑仅在已开通状态下支持退订续订周期,您的云电脑仅在已开通状态下支持退订续订周期,Your cloud computer only supports unsubscribing and renewing cycles when it is activated,您的雲電腦僅在已開通狀態下支持退訂續訂週期
ccfe-000002163,您的订单已为包年订单，无法变更,您的订单已为包年订单，无法变更,Your order is already a yearly order and cannot be changed,您的訂單已為包年訂單，無法變更
ccfe-000002164,您的云电脑仅在已开通状态下支持变更计费方式,您的云电脑仅在已开通状态下支持变更计费方式,Your cloud computer only supports changing billing methods when it is activated,您的雲電腦僅在已開通狀態下支持變更計費方式
ccfe-000002165,您的云电脑将在24小时内到期，请先续订并在续订资源生效后进行变更,您的云电脑将在24小时内到期，请先续订并在续订资源生效后进行变更,Your cloud computer will expire within 24 hours. Please renew first and make changes after the renewed resources take effect,您的雲電腦將在24小時內到期，請先續訂並在續訂資源生效後進行變更
ccfe-000002166,您的云电脑仅在已开通状态下支持变更规格,您的云电脑仅在已开通状态下支持变更规格,Your cloud computer only supports changing specifications when it is activated,您的雲電腦僅在已開通狀態下支持變更規格
ccfe-000002167,当前融合套餐已享受优惠，无法提供变更服务,当前融合套餐已享受优惠，无法提供变更服务,The current fusion package has already enjoyed discounts and cannot provide change services,當前融合套餐已享受優惠，無法提供變更服務
ccfe-000002168,当前云电脑为专属规格，不支持变更规格,当前云电脑为专属规格，不支持变更规格,The current cloud computer has exclusive specifications and does not support changing specifications,當前雲電腦為專屬規格，不支持變更規格
ccfe-000002169,请先将您的云电脑进行关机，否则无法变更规格,请先将您的云电脑进行关机，否则无法变更规格,"Please shut down your cloud computer first, otherwise the specifications cannot be changed",請先將您的雲電腦進行關機，否則無法變更規格
ccfe-000002170,该规格不支持变更,该规格不支持变更,This specification does not support changes,該規格不支持變更
ccfe-000002171,您的云电脑仅在已开通状态下支持配置续订方式,您的云电脑仅在已开通状态下支持配置续订方式,Your cloud computer only supports configuring renewal methods when it is already activated,您的雲電腦僅在已開通狀態下支持配置續訂方式
ccfe-000002172,该规格不支持配置续订方式,该规格不支持配置续订方式,This specification does not support configuring renewal methods,該規格不支持配置續訂方式
ccfe-000002173,您的云电脑仅在已开通或已冻结状态下支持分配,您的云电脑仅在已开通或已冻结状态下支持分配,Your cloud computer only supports allocation when it is activated or frozen,您的雲電腦僅在已開通或已凍結狀態下支持分配
ccfe-000002174,您的云电脑仅在已开通且未激活状态下支持重发激活链接,您的云电脑仅在已开通且未激活状态下支持重发激活链接,Your cloud computer only supports resending activation links when it is activated and not yet activated,您的雲電腦僅在已開通且未激活狀態下支持重發激活鏈接
ccfe-000002175,您的云电脑仅在已开通且已分配后，可修改桌面密码,您的云电脑仅在已开通且已分配后，可修改桌面密码,Your cloud computer can only change the desktop password after it has been activated and assigned,您的雲電腦僅在已開通且已分配後，可修改桌面密碼
ccfe-000002176,1-60个月,1-60个月,1-60 months,1-60個月
ccfe-000002177,我已阅读并同意,我已阅读并同意,I have read and agree,我已閱讀並同意
ccfe-000002178,《移动云产品销售协议》,《移动云产品销售协议》,Mobile Cloud Product Sales Agreement,《移動雲產品銷售協議》
ccfe-000002179,《云电脑服务使用声明》,《云电脑服务使用声明》,Cloud Computer Service Usage Statement,《雲電腦服務使用聲明》
ccfe-000002180,《云电脑服务等级协议》,《云电脑服务等级协议》,Cloud Computing Service Level Agreement,《雲電腦服務等級協議》
ccfe-000002181,请先阅读并同意以下服务协议,请先阅读并同意以下服务协议,Please read and agree to the following service agreement first,請先閱讀並同意以下服務協議
ccfe-000002182,我已阅读并同意上述协议,我已阅读并同意上述协议,I have read and agree to the above agreement,我已閱讀並同意上述協議
ccfe-000002183,长度为8-20个字符,长度为8-20个字符,The length is 8-20 characters,長度為8-20個字符
ccfe-000002184,包含大小写字母,包含大小写字母,Contains uppercase and lowercase letters,包含大小寫字母
ccfe-000002185,包含数字,包含数字,Contains numbers,包含數字
ccfe-000002186,"包含特殊字符(!@#$%^-&*./,)","包含特殊字符(!@#$%^-&*./,)","Contains special characters (! @ # $% ^ -&*./,)","包含特殊字符(!@#$%^-&*./,)"
ccfe-000002187,产品控制台,产品控制台,Product Console,產品控制檯
ccfe-000002188,下载客户端,下载客户端,Download the client,下載客戶端
ccfe-000002189,订购,订购,Order,訂購
ccfe-000002190,请输入数据盘大小,请输入数据盘大小,Please enter the size of the data disk,請輸入數據盤大小
ccfe-000002191,资源状态,资源状态,Resource Status,資源狀態
